title,time_published,summary,ticker_sentiment
"McDonald's, quiet on the Ukraine war, has more exposure to Russia than other U.S. fast food chains",20220307T171621,"U.S. fast-food chains have limited exposure to Russia and Ukraine, but McDonald's is under the most pressure, according to Bank of America Securities.","[{'ticker': 'MCD', 'relevance_score': '0.472462', 'ticker_sentiment_score': '-0.283553', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Shake Shack is partnering with Jack Dorsey's Block to offer a bitcoin rewards program,20220307T172202,Shake Shack announced that it will offer cash-back rewards in the form of bitcoin to customers who pay for their order using Cash App's Cash Card.,"[{'ticker': 'MCD', 'relevance_score': '0.124228', 'ticker_sentiment_score': '0.116628', 'ticker_sentiment_label': 'Neutral'}]"
New Domino's Pizza Takes Toppings to the Extreme,20220307T193600,The 'Best 34' pizza from Domino's Japan feels like more of a challenge than a meal.,"[{'ticker': 'MCD', 'relevance_score': '0.270373', 'ticker_sentiment_score': '-0.678518', 'ticker_sentiment_label': 'Bearish'}]"
Carolina Country Music Fest in Myrtle Beach Releases Lineup and Schedule,20220307T194200,"MYRTLE BEACH, S.C., March 7, 2022 /PRNewswire/ -- Carolina Country Music Fest  ( CCMF ) , the East Coast's largest outdoor country music fest and Academy of Country Music  ( ACM )  Award Nominee, has unveiled the lineup of the highly anticipated 2022 festival. CCMF 2022 will take place June 9 - 12, ","[{'ticker': 'MCD', 'relevance_score': '0.058918', 'ticker_sentiment_score': '0.044858', 'ticker_sentiment_label': 'Neutral'}]"
Top Restaurant Stocks To Watch In March 2022,20220307T213312,"Amid market volatility, do you have these restaurant stocks in your tray?
The post Top Restaurant Stocks To Watch In March 2022 appeared first on Stock Market News, Quotes, Charts and Financial Information | StockMarket.com.","[{'ticker': 'MCD', 'relevance_score': '0.239474', 'ticker_sentiment_score': '0.142413', 'ticker_sentiment_label': 'Neutral'}]"
Dow falls 797 points as oil prices soar amid Russia-Ukraine war,20220307T221529,"The Dow Jones Industrial Average closed the day down 797.42 points, or 2.37%, while the S&P 500 dropped 2.95% and the Nasdaq Composite declined 3.26%.","[{'ticker': 'MCD', 'relevance_score': '0.099476', 'ticker_sentiment_score': '-0.086817', 'ticker_sentiment_label': 'Neutral'}]"
"McDonald's, PepsiCo urged to cease Russia operations by NY pension fund",20220308T001320,"New York State's Common Retirement Fund, one of the largest public pension funds in the U.S., is urging McDonald's, PepsiCo and others to consider pausing or ending business operations in Russia amid the country's ongoing invasion of Ukraine.","[{'ticker': 'MCD', 'relevance_score': '0.458681', 'ticker_sentiment_score': '-0.057791', 'ticker_sentiment_label': 'Neutral'}]"
Which Major Companies Chose To Stay In Russia?,20220308T002100,"While Apple and Ikea left, Uniqlo, Starbucks and PepsiCo are remaining.","[{'ticker': 'MCD', 'relevance_score': '0.163835', 'ticker_sentiment_score': '0.013526', 'ticker_sentiment_label': 'Neutral'}]"
Hong Kong restaurant operators downsize operations to beat Covid-19 slump,20220308T003024,"Food and beverage (F&B) operators in Hong Kong are switching to smaller outlets amid a difficult operating environment, with some of the more resilient ones focusing on takeaway orders.By concentrating efforts on delivery, some tech-savvy operators are also looking to minimise the impact of the soci","[{'ticker': 'MCD', 'relevance_score': '0.065703', 'ticker_sentiment_score': '-0.053535', 'ticker_sentiment_label': 'Neutral'}]"
Live updates: Ukraine: Plant staff forced to record address,20220308T055344,Live updates: Zelenskyy: Ukraine 'will not give up' The Associated Press - en Español,"[{'ticker': 'MCD', 'relevance_score': '0.024565', 'ticker_sentiment_score': '-0.384224', 'ticker_sentiment_label': 'Bearish'}]"
Live updates: Los Angeles City Council condemns invasion,20220308T055344,Live updates: Zelenskyy: Ukraine 'will not give up' The Associated Press - en Español,"[{'ticker': 'MCD', 'relevance_score': '0.025358', 'ticker_sentiment_score': '-0.384224', 'ticker_sentiment_label': 'Bearish'}]"
Live updates: Ukraine seeks more air defense capabilities,20220308T055344,Live updates: Zelenskyy: Ukraine 'will not give up' The Associated Press - en Español,"[{'ticker': 'MCD', 'relevance_score': '0.028228', 'ticker_sentiment_score': '-0.384224', 'ticker_sentiment_label': 'Bearish'}]"
Live updates: Russian currency restrictions tightened,20220308T055344,Live updates: Zelenskyy: Ukraine 'will not give up' The Associated Press - en Español,"[{'ticker': 'MCD', 'relevance_score': '0.036354', 'ticker_sentiment_score': '-0.320803', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
"McDonald's, Starbucks, Coke and Pepsi all halt sales in Russia",20220308T080000,"NEW YORK, March 8  ( Reuters )  - McDonald's, PepsiCo, Coca-Cola and Starbucks stopped sales of their best-known products in Russia on Tuesday, offering a united rebuke of the war on Ukraine by companies that define America for much of the world.","[{'ticker': 'MCD', 'relevance_score': '0.189707', 'ticker_sentiment_score': '0.039541', 'ticker_sentiment_label': 'Neutral'}]"
Interconnections of global economy hard to unravel,20220308T080000,"The economic and market ramifications stemming from the Russian invasion of Ukraine illuminate the interconnectedness of the global economy, even when direct relations between countries are limited.","[{'ticker': 'MCD', 'relevance_score': '0.091965', 'ticker_sentiment_score': '-0.47926', 'ticker_sentiment_label': 'Bearish'}]"
Food Labels As A Business Opportunity In The Caribbean: Thinking Outside The Package,20220308T085457,Could octagonal front of package warning labels provide an opportunity for the Caribbean region to mitigate the growth of non-communicable diseases while simultaneously making the region more competitive and sophisticated from the perspective of trade?,"[{'ticker': 'MCD', 'relevance_score': '0.014653', 'ticker_sentiment_score': '-0.064193', 'ticker_sentiment_label': 'Neutral'}]"
"Top Stock Market News For Today March 8, 2022",20220308T104455,"Stock index futures continue to decline as gas prices soar alongside inflation worries.
The post Top Stock Market News For Today March 8, 2022 appeared first on Stock Market News, Quotes, Charts and Financial Information | StockMarket.com.","[{'ticker': 'MCD', 'relevance_score': '0.067224', 'ticker_sentiment_score': '-0.009816', 'ticker_sentiment_label': 'Neutral'}]"
How the BTS ARMY turned their fandom into the future of entertainment,20220308T110026,The BTS ARMY's fandom is the future of entertainment Fast Company,"[{'ticker': 'MCD', 'relevance_score': '0.015407', 'ticker_sentiment_score': '0.066909', 'ticker_sentiment_label': 'Neutral'}]"
